Station_ID,Latitude,Longitude,Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
AKYR,34.9808312442,24.912607082500017,1.6972025547204588,-0.5321425592168412,-1.5963921823680218,-0.2210267144353087,0.0003623590050030323,0.0016432710229139919,-0.0002210267144353087,1.0453578003254678e-09,-2.6052513936250513e-09,-7.058013948450588e-09,-7.2813543907367e-09,1.6065522695142572e-09,5.54007616015606e-10
ALE3,40.8491656686,25.853456076600025,1.892765177126777,-0.1525291480406563,1.8722578472824023,-0.23226155091021078,0.0003473978130255351,-0.0018460577854492038,-0.00023226155091021078,1.9717565237616858e-09,2.7800417845170343e-09,6.577260615086643e-09,-9.285313031918667e-09,1.2812321237158236e-09,-7.03413121458257e-10
ANDR,37.8863734555,24.73709084040001,1.476895808337529,0.2916962912731147,-0.05332149177145898,1.4468211087960183,-0.0002956719620628434,2.25388259927628e-05,0.0014468211087960182,5.623612230241442e-09,-8.741667170022776e-10,-2.45624914020793e-11,1.635737766768932e-08,-1.5762444255198806e-08,-4.739614635773723e-10
ANOP,35.2179647681,24.095992169999988,1.2449288639115546,-0.522480789723792,-1.1259882635082405,-0.09493224431884537,0.0004019207624476884,0.001174434096023344,-9.493224431884537e-05,-1.0735518663083692e-09,-1.8947809178890143e-09,-7.2118648385206185e-09,-2.834621132876454e-09,1.5299079582476792e-09,-5.195217125200943e-10
ARK1,35.1339802842,25.2689476187,2.105733224380754,-0.5818569433682506,-2.0029292377231016,-0.2895330350565842,0.0003693063548987352,0.002052777593920807,-0.0002895330350565842,2.2677895536276592e-09,-3.0817833985902604e-09,-7.910030465002955e-09,-1.0844270843812145e-08,1.7904465174535844e-09,1.0750303577607372e-09
AST5,36.5486046241,26.350941286900024,11.324585591776854,-1.6854031940199257,-11.121379021446687,-1.3117101663068995,0.0005136697204475016,0.01123662754937541,-0.0013117101663068995,4.723292222219922e-08,-1.038986617723862e-08,-2.559104999582196e-08,-1.524205236835717e-07,4.847883098536061e-09,1.2938271903677472e-08
ASTY,36.5451323953,26.35332162269998,11.275232132825456,-1.664873067367052,-11.0746366785699,-1.3082353596848493,0.0004981379652469753,0.01118799528335392,-0.0013082353596848492,4.6989650396267596e-08,-1.0057529866606445e-08,-2.4756864053773593e-08,-1.514873420973309e-07,4.693284902078911e-09,1.2904186183459634e-08
AYD1,37.8407265492,27.83788451110001,3.2850761382128213,-0.31873815443980585,1.4698527843609328,2.920558853210457,0.00047063352625859034,-0.0014284835675466082,0.0029205588532104573,9.32878887537487e-09,6.706790035240312e-08,-4.158788767951839e-08,6.469013347871347e-08,3.848546677421852e-08,2.4336640215307708e-08
AYVL,39.3114429293,26.6861782332,8.673643824802395,0.466069590782993,8.637247440788196,-0.6425208033035632,0.00043932178904904085,-0.008638649233677775,-0.0006425208033035631,3.2939996141874936e-08,7.873812140694893e-09,1.6634984661949827e-08,-1.0167717682859592e-07,1.741852821995827e-09,-9.283747530155726e-10
BAL1,39.6294995568,27.892661172399983,4.023126277041376,1.3668674936902816,3.7688629888487513,-0.33599117101451925,-0.0009654261940514469,-0.003891093321659149,-0.0003359911710145193,3.3821407642010147e-09,-1.0718252324541823e-08,-2.6375537733366326e-08,-2.603542473280429e-08,-3.9414741210159885e-09,-1.1216255631554315e-11
BALK,39.6393659686,27.89363153369999,3.9939616424025095,1.3522469479258272,3.7430156974650965,-0.33614175780124916,-0.0009535875188144277,-0.003863859361261248,-0.00033614175780124914,3.4167295987600793e-09,-1.056268979628229e-08,-2.5955710784472686e-08,-2.582263009526806e-08,-3.894756043887435e-09,-4.895089346152955e-11
BAND,40.3312259578,27.99671177990001,2.4458371867165507,0.6834766216137733,2.3310651876773254,-0.2848057977496796,-0.00043606980332260015,-0.002389738129612508,-0.00028480579774967964,3.061304434465957e-09,-3.98761760755421e-09,-9.306075419847363e-09,-1.3770865516503259e-08,-1.7069149804852735e-09,-9.212472629521486e-10
