Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
AIGI,38.2419602042,22.072721371400007,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.0924002794506142,0.539205411017974,-0.9417301010349328,-0.1254604004355675,0.0006859468518392031,0.0008408775029207366,-0.0001254604004355675,3.360320613846492e-09,3.2198636837648364e-09,6.794351722987358e-09,7.700731054506915e-10,-1.1859962654083576e-09,-1.4415840029787174e-09
AKYR,34.9808312442,24.912607082500017,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.8743150054250426,-1.45814218721776,1.136094252289206,-0.3101095795565098,-0.000538083930814448,-0.0017684327727194027,-0.0003101095795565098,-5.452857045848934e-09,4.740659011523602e-09,4.116307036619018e-09,9.740728695522311e-09,2.0398436804262947e-09,4.521400083864586e-09
ANIK,36.8260211464,22.28206732130002,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,3.7173212516985905,2.4200288290799725,-2.561920374343338,-1.182582661075446,0.0015244979464134195,0.0031774016978397546,-0.0011825826610754459,-1.2925917011890936e-08,1.7563922864722535e-08,1.2925561998232446e-08,1.6620425575464423e-08,-5.406153092456678e-09,-1.830436916206016e-08
ANKY,35.8669629685,23.301054802299973,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,26.109427948993055,-0.6108616081820074,-2.8473315827333128,25.94651766186126,0.002877126255367249,0.000450103940282387,0.025946517661861263,4.0087431147984505e-07,-2.314664775548018e-08,-1.35721746330291e-08,3.763781540265241e-07,1.4855674184986928e-07,-3.355219434727165e-08
ANOP,35.2179647681,24.095992169999988,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.8552639744053534,-1.286132296894076,1.2670879584766919,-0.42703189002191166,-0.0007220199226022211,-0.0016547916518390299,-0.00042703189002191166,7.431312678949161e-11,-1.2592325259367681e-08,1.3923391811332468e-08,-3.130881030901626e-08,7.990861400431986e-09,-1.5523289535587974e-08
ARK1,35.1339802842,25.2689476187,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.5881374593754567,-1.3341208478184259,0.8261409031001258,-0.2445268114393273,-0.00029316282398467175,-0.001541571531584629,-0.0002445268114393273,-5.478497074884933e-09,2.3582768642632077e-09,-2.295611355474874e-09,1.0046758315822064e-08,6.707491134868731e-10,3.8190554252967684e-09
ARSA,38.3010818222,21.81672309459998,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.0321205335509958,0.5488829781158585,-0.8688208913978527,-0.09565840675496845,0.0006144121109331879,0.000823783966178826,-9.565840675496845e-05,2.3410029301754927e-09,3.2595987536202298e-09,5.9185064210657125e-09,1.5099904544860182e-09,-8.488465513087914e-10,-1.2490238989053947e-09
ATRS,37.2443620013,22.834881344,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,2.697400112981035,1.0331887410151568,-2.3362217998248793,-0.8663464070293239,0.0018107892136616788,0.00180179180157531,-0.0008663464070293239,1.4334737364158497e-08,5.392845290482757e-09,2.398990562357228e-08,-8.115801180272326e-09,-1.2790923643997122e-08,-6.119688397652757e-09
EGIO,38.254630011,22.0754897356,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.0812475553802956,0.5321613449824362,-0.9330932836658363,-0.12344028070308821,0.0006804080556978009,0.0008312061422158443,-0.0001234402807030882,3.3536405001814083e-09,3.1544134504744674e-09,6.711839157119939e-09,7.252858919757112e-10,-1.1643448288612584e-09,-1.4156612585287413e-09
GEYB,38.3341071147,21.76636574989999,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.003034835188483,0.5385286934135102,-0.8416636119941666,-0.08756763795408906,0.0005927692502227799,0.0008043851101152064,-8.756763795408906e-05,2.1659259875108075e-09,3.152160589147386e-09,5.636283434866774e-09,1.5485723129821006e-09,-7.666608415434131e-10,-1.1734776777889383e-09
GVDS,34.8314719014,24.08120616039997,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.5310223953726338,-0.9634697775888018,1.1597604604949738,-0.26591584585734795,-0.0007374529767001231,-0.0013150975040698148,-0.00026591584585734795,5.542321306026172e-09,-8.219592486923566e-09,1.5493801317472355e-08,-1.3653191672659517e-08,5.542728863757551e-09,-4.2034120374518135e-09
HERA,35.3241276658,25.141503162899998,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.7244646040481653,-1.4777464613347195,0.8237488939034788,-0.33388819449106655,-0.00023945887440066094,-0.001674800373675997,-0.00033388819449106655,-6.600450915712765e-09,1.6852533150872263e-09,-5.875784682820076e-09,1.0414309175710274e-08,1.7398445950300618e-10,4.991403984961411e-09
IDI0,35.288808933,24.890399762000012,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,2.0322123069020748,-1.682688708080627,1.0511491596268878,-0.4399216023769359,-0.00037831057871876017,-0.0019476234107536905,-0.0004399216023769359,-8.44839209690347e-09,3.1365221799591874e-09,-3.4670703988446303e-09,1.092005881485993e-08,8.903501522075879e-10,6.30507953512193e-09
IERA,35.0530693748,25.797232298600026,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,1.1283983902239678,-0.9738111035353633,0.5578060296394057,-0.11758951904486392,-0.00017177410263505277,-0.0011090307884521339,-0.00011758951904486392,-3.2113541481371638e-09,1.0996329006398014e-09,-2.560461433176695e-09,6.953084476041235e-09,3.743331625447863e-10,1.8882667539526775e-09
JPA1,37.0407410126,22.092233399500003,2006-01-08T11:35:00.300000Z,6.72,35.93,23.29,64.0,201.0,44.0,55.0,2.9597715849621875,1.9317039228339559,-2.117171809369995,-0.7391558152828603,0.0012842893868048738,0.0025621274923046805,-0.0007391558152828603,-5.983255633799702e-09,1.436900511991677e-08,1.3601463343346899e-08,1.492720136078986e-08,-4.677529832616813e-09,-1.1560210758343436e-08
