Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
AYD1,37.8407265492,27.83788451110001,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,5.274004841557985,0.8160307523162589,5.2014573000782685,-0.3066966506398566,0.0009970618903226425,0.005169809650280133,-0.00030669665063985663,2.1509311906778285e-08,-2.263429209338896e-08,-3.856610283451359e-08,-7.976779714733096e-08,2.8851971087253234e-09,-7.164257659899708e-10
CESM,38.3038153588,26.3725707982,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,1.354375802044421,-0.4231879643966366,1.2860490472107131,-0.036381425504189435,-0.00037804770524049736,0.0013000346678470331,-3.6381425504189435e-05,-1.1107249814856705e-09,4.045248658985208e-09,1.4623394734641771e-08,-6.970947322292155e-09,-2.213390628200814e-09,-1.376653067433661e-09
DATC,36.7085723539,27.691835665099973,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,898.9572365885002,48.17069111358139,552.9193858006365,707.1660699852048,0.06743795511158174,0.5509014293745129,0.7071660699852048,-1.3248306975356118e-06,-3.160369088589076e-06,1.9731985556742253e-07,4.358940441940311e-07,4.263554141822221e-06,-7.090986448261922e-06
DIDI,37.3721296973,27.26866140419997,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,13.148661725004038,-3.058517696975783,12.77276858191084,0.6238248222245335,-0.002610891335626961,0.012871728484679545,0.0006238248222245335,5.9076971582161054e-08,9.758318778152146e-08,2.8088798921767e-07,-2.7841202006278884e-07,-8.485140457811823e-09,-5.303327045275229e-08
IKAR,37.6282039878,26.224234334699982,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,1.2944629725978645,-0.5686704527291192,1.1295279931027604,0.27643229988011386,-0.0005289040755836055,0.0011486862277580168,0.00027643229988011386,-1.041747441358212e-08,-5.036552245639538e-10,2.423911640169453e-08,4.918228332458153e-09,-2.739298269283293e-10,-6.71757191418654e-09
IZMI,38.3948077729,27.081822277699985,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,2.1179042277959987,-0.2737962503924923,2.091656221532587,-0.18848921006571484,-0.00020063171170833782,0.002099937392414819,-0.00018848921006571484,6.094682998737621e-09,3.606783856677669e-09,1.119977656231418e-08,-2.14717595033237e-08,-2.0431137228982837e-09,7.364638915063653e-10
KALY,36.9558024293,26.97615189200002,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,3.978396152454577,-0.7728287269509079,2.198346581753851,3.2245377980659464,-0.0006956367512907097,0.002223978742021404,0.003224537798065946,-8.432483481181777e-08,-1.8947544371759627e-07,1.458094765030991e-07,2.001620547151152e-07,1.0121785141253492e-07,-3.026796543268158e-08
KATC,35.9514806193,27.78078263549997,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,6.159426826417133,0.6385908475241576,-6.119368599262344,-0.28994569458334896,0.0004246389509826483,-0.0061379273444288965,-0.00028994569458334896,3.230227554826496e-08,1.2310107847394855e-08,5.979371056711022e-08,-9.921154589670597e-08,6.250867322519456e-09,3.0183589774420034e-09
KIKA,39.1059919179,27.672205827200003,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,1.149417501438425,0.05007613450200255,1.138635649036373,-0.14886850610457136,8.978344055277088e-05,0.0011361943910729588,-0.00014886850610457136,2.792781091675673e-09,-9.08238366874322e-10,-7.635650042837928e-10,-8.922468664281914e-09,1.3436410243382841e-11,8.858318227672123e-10
KRP1,35.4805247476,27.12028503739998,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,2.8352355714608195,-0.5237566895680003,-2.7734809360017896,-0.26840859420697305,-0.0006202307199245916,-0.002753512561492033,-0.00026840859420697305,6.71400807436435e-09,-1.0170621021636647e-08,-1.964271543255586e-08,-2.9736689853538094e-08,-2.596928591635742e-09,-9.552939080377441e-10
KRPS,35.5470891948,27.161062931300023,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,3.155796003013395,-0.5613440110677154,-3.0922711183697054,-0.28600811941324744,-0.0006689207611619633,-0.003070796766891537,-0.00028600811941324744,8.366851770600612e-09,-1.1594494102482144e-08,-2.2072007320235933e-08,-3.521412522207514e-08,-2.76352199074513e-09,-9.486932059748965e-10
MNTS,38.426584765,26.71742915110002,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,1.649804520950538,-0.3653292628984982,1.604584134110514,-0.11704376779515802,-0.00030910753548513137,0.0016163564722162793,-0.00011704376779515802,2.1775440195132253e-09,4.3600877859559875e-09,1.3227281002367302e-08,-1.2945473979753914e-08,-2.259594087712278e-09,-2.1604412258046495e-10
MUG1,37.2142926908,28.355677467900023,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,4.0039760520457035,2.093294707476135,3.280124779527374,0.9437811842468551,0.0022064942328261783,0.0032050716843967653,0.0009437811842468551,-7.78173926471709e-08,2.9699781234337972e-08,-1.1596640467734327e-07,5.2158725159470144e-08,-1.2903860467530465e-08,-2.965801531021175e-08
MUGL,37.216358278,28.36444046790001,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,3.907577024763014,2.04217060524572,3.1996916492771126,0.9277234356597948,0.002152594198253574,0.00312647175727343,0.0009277234356597948,-7.550198823644519e-08,2.9429886125562764e-08,-1.1211367391607857e-07,5.0962403548538017e-08,-1.249286428346634e-08,-2.8927780077640815e-08
NISY,36.6108545531,27.1320732378,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,5.3214604397533405,0.9479506061997484,-5.186347553980027,0.7218932811647107,0.0007663722209450691,-0.0052162711702357645,0.0007218932811647108,5.983946089778328e-08,3.904461637780085e-07,-2.532045422208682e-07,2.131428372094751e-07,-1.5840522123471498e-07,3.0240641523531246e-10
RODO,36.2926041133,28.16165977240001,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,3.7926267392672397,0.9096357741081319,-3.6498286986097797,0.4851090729640073,0.0007817044639402554,-0.0036793511522806212,0.0004851090729640073,-3.447000663177412e-08,-3.202909485173583e-08,1.322707403549679e-07,3.1510792544924535e-08,1.0683248854518141e-08,1.9872155115432287e-08
SALH,38.4830903176,28.12354599150001,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,1.9430596154696982,0.3559248463009122,1.8997409589112795,-0.1994554137890875,0.00042200802983244357,0.0018861620900485765,-0.0001994554137890875,3.862969987800446e-09,-5.808983381368207e-09,-1.0584202579715042e-08,-1.7313444132245415e-08,1.447990101115449e-09,8.967845902427418e-10
SAM3,37.7927716773,26.7053359359,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,2.8098427632074356,-0.9668757620458699,2.637682109330491,0.05477868960887533,-0.0008742329893789147,0.0026698187821265207,5.477868960887533e-05,-5.9160001339106e-09,1.2558482423209186e-08,4.702541892785256e-08,-1.7772401097864235e-08,-4.678274522452223e-09,-6.216111490451611e-09
SIT1,35.2047582681,26.106062539999986,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,1.0108803832695115,-0.3879405940532756,-0.9321485860212579,-0.04980219215331566,-0.00042023578762927227,-0.0009180418148055369,-4.980219215331566e-05,-2.7426545889386224e-09,-2.5518322781675204e-09,-9.891144280121656e-09,-2.328483136886888e-09,-1.6052173317041768e-09,1.0644594911744077e-09
TILO,36.3804269932,27.3936541361,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,16.510172855204445,-2.9823506615146096,-16.237709752510426,0.16785182072569238,-0.00354722179203594,-0.0161237356413802,0.00016785182072569238,1.0295530788544842e-07,-7.645615977236207e-08,-2.873445892422988e-07,-2.3649232378293927e-07,-1.6951835499311406e-08,-9.842403820965054e-09
XIOS,38.3679125922,26.12716884560001,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,1.0376963396710641,-0.3543633176233634,0.975290616572108,-0.006967475589148009,-0.00032011029740780517,0.0009870635973148467,-6.967475589148009e-06,-1.697596819646688e-09,2.66336553379695e-09,1.1172381602493763e-08,-3.699617724777797e-09,-1.6641111104205119e-09,-1.370195686007806e-09
ZKRO,35.1148955564,26.21696793609999,2017-07-20T22:31:16.400000Z,6.64,36.79,27.56,12.0,88.0,55.0,-96.0,1.0677937655678524,-0.3791623236420584,-0.9954087685445268,-0.07470503075829305,-0.0004136706132345791,-0.0009815698181541155,-7.470503075829305e-05,-1.9887174475752645e-09,-3.0291115992421133e-09,-9.697990988683116e-09,-3.5568053900795146e-09,-1.6411782641101058e-09,7.041346645212896e-10
