Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
AKYR,34.9808312442,24.912607082500017,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.7057660742362193,-0.5382554120169348,-1.6040016852087657,-0.21701982696786631,0.000367642961317715,0.001651477807211354,-0.0002170198269678663,1.0425568380131787e-09,-2.6520932438424153e-09,-7.1295747849098195e-09,-7.282980701358603e-09,1.5708559955571702e-09,5.089689592655578e-10
ALE3,40.8491656686,25.853456076600025,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.9063401605641674,-0.1541775789454669,1.8847761866597599,-0.24079204332914475,0.0003503457364311491,-0.001858335240104354,-0.00024079204332914475,1.985271155518044e-09,2.8095033230584728e-09,6.635658367954842e-09,-9.348348084994172e-09,1.3462161032678384e-09,-7.749696797670083e-10
ANDR,37.8863734555,24.73709084040001,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.4815828587919633,0.2727907731708534,-0.09251242216355102,1.4533115334588271,-0.00028096657809477816,6.349122912206043e-05,0.0014533115334588271,5.2504623059261345e-09,-1.6563132906349697e-09,-1.0324779010251966e-09,1.586421968692078e-08,-1.585669068049732e-08,-1.2914919337182076e-09
ANOP,35.2179647681,24.095992169999988,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.2494100629390152,-0.5271070346665245,-1.128959290063526,-0.09292255247030616,0.0004062111074964213,0.0011778724212588593,-9.292255247030616e-05,-1.105494417179102e-09,-1.9102536652431412e-09,-7.2490665717346154e-09,-2.801498987319454e-09,1.5026002336362932e-09,-5.322469984742925e-10
ARK1,35.1339802842,25.2689476187,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,2.1166072481167233,-0.5891956022008288,-2.0131588907533478,-0.2829594771485875,0.00037553552187935904,0.0020637183065716222,-0.0002829594771485875,2.285599768474729e-09,-3.149573583458282e-09,-8.005823001177749e-09,-1.086061716702314e-08,1.7394307818615932e-09,9.917312576507503e-10
AST5,36.5486046241,26.350941286900024,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,11.30523641207882,-1.7155929626344366,-11.122303432019951,-1.0767903628976356,0.0005435974791340828,0.011240702586050512,-0.0010767903628976355,4.988555678451672e-08,-1.1319716463922265e-08,-2.6615518755935537e-08,-1.505348221485567e-07,3.876335516155378e-09,6.53356960105929e-09
ASTY,36.5451323953,26.35332162269998,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,11.256882925830217,-1.6941703920387816,-11.07658598521255,-1.0753803051850963,0.0005270710380809301,0.01119299631581661,-0.0010753803051850963,4.962585130662514e-08,-1.0954911606017968e-08,-2.5746069696246117e-08,-1.4965060856838055e-07,3.757633548108331e-09,6.566047787267066e-09
AYD1,37.8407265492,27.83788451110001,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,3.3337841229738383,-0.1313989905088985,1.1287977454948472,3.1341133568605075,0.0002486706667669551,-0.0011088791387841531,0.0031341133568605073,2.193974837479089e-10,6.948795433595322e-08,-2.8981575734505085e-08,6.699966861170688e-08,4.851213773269353e-08,1.9990754949675537e-08
AYVL,39.3114429293,26.6861782332,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,8.805765764758084,0.46583964598538735,8.757734672251496,-0.7915728257448288,0.0004521448193332187,-0.008758452387704004,-0.0007915728257448288,3.387333567615211e-08,8.288594355183194e-09,1.722964773370194e-08,-1.0437459168588971e-07,2.317886490423108e-09,-4.169848500174329e-09
BAL1,39.6294995568,27.892661172399983,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,4.055574779515989,1.3825390860756148,3.794920036879192,-0.3672252461530849,-0.000978288232626034,-0.003918645753923081,-0.0003672252461530849,3.3695896817926517e-09,-1.0935751484843844e-08,-2.6727317093832037e-08,-2.6223225397385333e-08,-4.4189130328814634e-09,-3.6490096886573777e-10
BALK,39.6393659686,27.89363153369999,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,4.026149423585587,1.3676645187788077,3.768909008443116,-0.36701203139463606,-0.0009662140425956646,-0.0038912224009610506,-0.0003670120313946361,3.406188330639306e-09,-1.0775323277718692e-08,-2.630042849408518e-08,-2.6009662156322952e-08,-4.361872156255625e-09,-3.984926981378204e-10
BAND,40.3312259578,27.99671177990001,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,2.4642058071111372,0.689313800750571,2.3469437609483794,-0.2983483313855277,-0.00044021524291842614,-0.0024061398697627686,-0.00029834833138552767,3.083518547806469e-09,-4.0381620309432e-09,-9.400052613948288e-09,-1.3872462804356235e-08,-1.8198858839758468e-09,-1.055385648403818e-09
BNDR,40.3486525482,27.97494641869997,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,2.4577011381568377,0.6756713272314323,2.3438484518358056,-0.30022920724277546,-0.00042697105220153666,-0.002401635490285256,-0.00030022920724277546,3.1747789808809052e-09,-3.925006287272932e-09,-9.097274878207508e-09,-1.3914108751872577e-08,-1.7655010958604442e-09,-1.0921014187754382e-09
CANA,40.1112056146,26.414336083900025,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,3.6375882062803564,-0.03484496591651232,3.611022156784502,-0.43743887576622514,0.00041210867842146257,-0.0035875983088422864,-0.0004374388757662251,7.670958119724904e-09,4.7701986266940765e-09,1.0462645941667371e-08,-2.6788291918956922e-08,1.8911826278103748e-09,-2.1908449594850813e-09
CESM,38.3038153588,26.3725707982,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,53.238675335324295,-12.775966171331486,51.41541908545678,5.25223001361396,0.018080352837138686,-0.04979830792937378,0.00525223001361396,-3.891685312460272e-08,6.416722541296953e-07,1.589009265292245e-06,-8.90500105679712e-07,-1.1689769063576809e-07,3.302444542218962e-07
DATC,36.7085723539,27.691835665099973,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,4.841667762480165,1.4424819885998263,-4.609407096941982,0.3381695572721931,-0.0019163941617552542,0.004433375857015103,0.0003381695572721931,-2.8821529417308543e-08,3.3258905533374675e-09,8.009894037786155e-08,4.581165269402445e-09,-8.257571105918645e-09,-1.714674119063657e-08
DEI1,39.0508993781,28.662686939600007,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,2.592831843450068,1.3799649347643528,2.191432718131529,0.12687154579396548,-0.0011433382480828553,-0.0023236734344023804,0.00012687154579396547,-1.1166518997569074e-08,-3.94424951387999e-09,-2.8963379744097868e-08,-1.165425638504341e-10,-3.1679680378548056e-09,5.579550799086183e-09
DEIR,39.0348514814,28.648405101399987,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,2.627949734350639,1.401893671163244,2.218715300732574,0.13459701081822423,-0.0011622950501360518,-0.0023530987372784905,0.00013459701081822422,-1.1535976753718643e-08,-3.948078410572822e-09,-2.9670520108828494e-08,4.452983206370425e-11,-3.1924786591991245e-09,5.764882458399801e-09
DIDI,37.3721296973,27.26866140419997,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,9.303107560551164,1.1938071625921882,-8.419110069424487,3.7737541494701303,-0.0020673039996835685,0.008248202475414478,0.0037737541494701305,-1.2705989683993237e-07,-2.4252852732831065e-07,3.1637859085470124e-07,2.303862082316235e-07,3.066637650037399e-08,-1.140347971616355e-07
DSLN,36.4608693203,25.38922897330002,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,4.891425036241827,-2.0132238910767644,-4.450490775113488,-0.25709980591363,0.0015369922784448753,0.004636549720532862,-0.00025709980591363005,-6.5056643714028055e-09,-1.4852399829128364e-08,-5.431589143331947e-08,-2.2970603142017988e-08,8.818939531652678e-09,-4.349958378639945e-09
DUTH,41.1402123929,24.916802209799982,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.2424958029754614,-0.2259169229671946,1.2151706373290603,-0.12695545085563295,0.0003516992457530837,-0.001184899056648452,-0.00012695545085563296,-9.527758508385246e-11,2.0029970820965852e-09,5.619402588471532e-09,-3.844563790100272e-09,1.1519173509014191e-09,9.268426411932208e-12
EDIR,41.6767128926,26.551012440399973,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.3101065610737714,0.03732749715445621,1.2946215684613565,-0.19733437054751807,9.820178984502055e-05,-0.001291431281966018,-0.00019733437054751806,1.759080293562834e-09,6.8735824873036e-10,1.5311904481805345e-09,-5.91635786989893e-09,3.372703405909169e-10,-7.619288723146052e-10
GODA,40.1971577914,25.903455022199974,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,2.978547429974116,-0.3167869125610771,2.9438648165611703,-0.3241153906384265,0.0006227691860509562,-0.002894624767921076,-0.0003241153906384265,3.1989131575699577e-09,6.139214895085269e-09,1.4627888895166542e-08,-1.7570432592824036e-08,2.679073830267124e-09,-9.042185638072945e-10
GVDS,34.8314719014,24.08120616039997,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.1220949204384167,-0.44067746214681214,-1.0260865026772659,-0.10975825186781522,0.00033100813959579303,0.001066528831369293,-0.00010975825186781522,-4.2404426911334966e-10,-1.6500679770449773e-09,-5.446106325104229e-09,-2.925328411142298e-09,1.1902042940310329e-09,-1.6275635332557402e-10
HAR3,41.9235503811,25.916516465100017,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.0940493922465695,-0.04440929508200374,1.0814737608021965,-0.15933107632147953,0.0001572108065978662,-0.0010709072990143335,-0.00015933107632147951,1.072811411792303e-09,9.767721966355444e-10,2.26835827484946e-09,-4.268823069197108e-09,5.058639134751142e-10,-5.008358550158346e-10
HARM,41.8844415837,25.84633229719998,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.1036162308317972,-0.054118444854231035,1.0907711259742192,-0.15892869351654584,0.0001678386079256259,-0.0010791388497418182,-0.00015892869351654583,1.0421849405730005e-09,1.0422263088261694e-09,2.435520742482392e-09,-4.2833374682815165e-09,5.414706636871612e-10,-4.8824158510267e-10
