Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
ANIK,36.8260211464,22.28206732130002,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,17.409388206351682,-9.724385040800529,-13.944467243543038,-3.7516618439655716,-0.0077469115441501195,0.015132653192850998,-0.0037516618439655714,-3.5671185687665013e-08,-2.9452056199774884e-07,-3.178279724639196e-07,3.6056703904663505e-07,8.234442388663407e-08,-1.580840906227926e-07
ATRS,37.2443620013,22.834881344,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,3.674110455031106,-2.381653461454189,-2.7839661942212413,-0.2763089841924418,-0.001339977677224948,0.0034098681507592423,-0.0002763089841924418,-9.857702934273407e-09,-2.9564348282409928e-08,-3.0425591801467216e-08,5.1407114803126275e-08,2.9409368797910196e-09,-9.08251402381712e-09
JPA1,37.0407410126,22.092233399500003,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,10.408187726985922,-3.358774949293714,-9.655652347499158,-1.9538117474340606,-0.006948585673216009,0.0074986764537314345,-0.0019538117474340606,1.1137520462508464e-07,-1.6122303308467074e-07,-2.2182082693323723e-07,6.234671966594658e-08,5.868651268618555e-08,-5.3701909278630536e-08
KAL3,38.0305509928,22.1022587974,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,1.2501898110881842,-0.29788876845204976,-1.2103614991189242,-0.09623869715151083,-0.0009288354664746283,0.0008312504755716827,-9.623869715151083e-05,1.0484901483341741e-08,-6.570453229209415e-09,-1.300449888725257e-08,-3.223514125847538e-10,1.1833962605349106e-09,-1.7297268458784566e-09
KALM,37.033726265,22.111371255200027,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,10.579337583017722,-3.596021093978521,-9.750837947426158,-1.97792196765868,-0.006921249251236282,0.007752839298448387,-0.00197792196765868,1.0419663425587818e-07,-1.6640649135387316e-07,-2.2482533916296487e-07,7.269818491464645e-08,5.838027103441658e-08,-5.60594976173636e-08
KAPS,36.1428491112,22.99968458759997,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,3.2240253205485465,-3.1629691359369168,-0.07964443002189464,-0.6193724868083155,0.0014146022055193902,0.0028301267798921514,-0.0006193724868083154,2.833264683840722e-08,2.3299261513359117e-08,9.3563412700987e-08,1.4244471325303579e-08,-1.5148757420677114e-08,-1.2922440970976993e-08
KERY,36.4932710153,22.383513569599984,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,29.420876752894955,-24.647717388793907,-13.608855547787494,-8.536806610825536,-0.00044450384586176947,0.028151613419649932,-0.008536806610825537,-4.4182053932473043e-07,-9.275012407095758e-09,2.7969341124951465e-07,1.0531067874524734e-06,-7.96866304696271e-08,-4.864955662503717e-07
KITH,36.2745242158,23.01516387919997,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,4.11247117133808,-4.021380614131896,-0.5311104191646479,-0.6773764197443944,0.001418981175329665,0.0038000095717144076,-0.0006773764197443944,9.494871247800314e-09,3.418953383725694e-08,9.941590481376343e-08,4.667623181937458e-08,-1.4000097932905578e-08,-1.8230508380060588e-08
KOPA,37.2895154126,21.81823142090002,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,4.70545866122598,-0.43676404231412647,-4.615944399724524,-0.8022690835996437,-0.003870588698993518,0.002552694390880046,-0.0008022690835996437,8.407969489998944e-08,-3.2093498850866256e-08,-7.407392184650053e-08,-1.9229835923389736e-08,2.22302872909095e-08,-1.1278055709878114e-08
KOR1,36.7975013801,21.95629645909997,2008-02-14T10:09:29.000000Z,6.85,36.24,21.79,20.0,332.0,6.0,120.0,26.21606432872893,-6.595620172932989,-24.224785082866642,-7.5458340235771395,-0.018292759566312947,0.017196434666108703,-0.00754583402357714,4.4792998161845687e-07,-5.29954061515644e-07,-7.515528554304329e-07,9.843995712440802e-08,3.349995421421026e-07,-2.3842266807846254e-07
